person_income,loan_amnt,loan_int_rate,loan_percent_income,cb_person_cred_hist_length,loan_status
19200,4950,11.71,0.26,2,1
57000,21700,11.99,0.38,2,1
54000,21600,13.49,0.4,2,1
63000,21600,14.35,0.34,3,1
82000,21600,13.61,0.26,3,0
78000,21600,11.26,0.28,3,1
19200,2400,10.59,0.13,3,0
112140,21600,7.9,0.19,2,0
19200,7000,5.99,0.36,4,1
19200,3000,11.99,0.16,4,1
59000,21500,16.89,0.36,3,1
70000,21500,9.99,0.31,3,1
116000,21500,15.33,0.19,3,0
60000,21450,7.29,0.36,4,1
47052,21250,10.99,0.45,2,1
51060,21250,6.91,0.42,2,1
19200,5000,14.17,0.26,2,1
53000,21250,10.25,0.4,3,1
56000,21250,15.95,0.38,3,1
65000,21250,15.95,0.33,4,1
19200,1400,14.91,0.07,4,1
63000,21000,11.36,0.33,2,1
19200,4000,7.51,0.21,4,1
59000,21000,10.71,0.36,3,1
70500,21000,13.98,0.3,4,0
65219,21000,14.09,0.32,3,1
75000,21000,10.0,0.28,3,0
19200,5000,15.33,0.26,3,1
62047,21000,16.32,0.29,4,1
79000,21000,7.9,0.27,2,0
80000,21000,11.99,0.26,3,0
84000,21000,10.75,0.25,4,0
85000,21000,13.92,0.25,3,0
93000,21000,9.91,0.23,3,0
81000,21000,16.95,0.26,3,1
97000,21000,7.9,0.22,3,0
100000,21000,16.49,0.21,3,1
19200,7500,11.97,0.39,2,1
19253,6250,6.17,0.32,3,1
125000,21000,8.9,0.17,2,0
125000,21000,12.99,0.17,3,0
82000,20900,12.69,0.25,2,0
50000,20500,7.49,0.41,3,1
70000,20500,13.16,0.29,3,0
19800,2100,8.38,0.11,4,0
80004,20400,10.25,0.25,3,0
54000,20375,7.49,0.38,2,1
20000,5000,11.71,0.25,4,0
20000,6400,10.65,0.32,4,0
40000,20000,12.53,0.5,3,1
20000,4800,5.99,0.24,3,0
42000,20000,13.47,0.48,4,1
42224,20000,6.99,0.47,4,1
20000,5650,15.99,0.28,2,0
45000,20000,7.9,0.44,4,1
45000,20000,10.25,0.44,2,1
20000,1200,7.49,0.06,3,0
45000,20000,13.92,0.44,3,1
46500,20000,10.62,0.43,2,1
48000,20000,10.65,0.42,3,1
42000,20000,12.99,0.48,3,1
48500,20000,11.36,0.41,4,1
20000,7500,5.79,0.38,4,0
49400,20000,6.54,0.4,4,1
20000,4000,5.79,0.2,2,0
50000,20000,7.49,0.4,3,1
50000,20000,13.43,0.4,2,1
50000,20000,13.22,0.4,2,1
20000,5000,14.72,0.25,3,0
44000,20000,15.68,0.45,4,1
50950,20000,11.48,0.39,3,1
51000,20000,10.38,0.39,3,1
51000,20000,12.53,0.39,3,1
51000,20000,13.47,0.39,2,1
51500,20000,12.21,0.39,4,1
51996,20000,10.99,0.38,3,1
52000,20000,11.36,0.38,4,1
46000,20000,16.0,0.43,4,1
20000,1500,7.74,0.07,3,0
52000,20000,15.65,0.38,2,1
46000,20000,11.78,0.43,2,1
47000,20000,16.77,0.43,3,1
54000,20000,9.91,0.37,4,1
48000,20000,15.65,0.42,4,1
48000,20000,14.96,0.42,3,1
54000,20000,11.83,0.37,4,1
48912,20000,11.66,0.41,4,1
54996,20000,12.18,0.36,4,1
55000,20000,6.91,0.36,2,1
55000,20000,6.91,0.36,3,1
55000,20000,9.88,0.36,4,1
55000,20000,12.53,0.36,2,1
20004,7125,6.99,0.36,2,0
57000,20000,16.89,0.35,2,1
51012,20000,17.49,0.39,4,1
20004,2500,16.82,0.12,2,0
58000,20000,13.11,0.34,2,1
58800,20000,7.66,0.34,3,1
59000,20000,6.17,0.34,3,1
53000,20000,16.35,0.38,4,1
60000,20000,7.9,0.33,2,1
54000,20000,16.49,0.37,2,1
20280,7000,8.0,0.35,2,0
60000,20000,10.99,0.33,2,1
20352,7750,6.91,0.38,3,0
54000,20000,8.88,0.37,3,1
54000,20000,14.84,0.37,3,1
54000,20000,11.12,0.37,2,1
60000,20000,7.88,0.33,3,1
20400,6000,15.99,0.29,4,0
20400,5500,10.99,0.27,4,0
54000,20000,15.65,0.37,3,1
54000,20000,17.04,0.37,3,1
60000,20000,12.21,0.33,2,1
20400,1275,15.23,0.06,3,0
54000,20000,14.11,0.37,4,1
60000,20000,11.14,0.33,2,1
20400,2400,11.49,0.12,4,0
60000,20000,13.87,0.33,4,1
60000,20000,10.08,0.33,4,1
54504,20000,16.7,0.37,4,1
55000,20000,18.64,0.36,2,1
61000,20000,12.18,0.33,4,1
62000,20000,6.54,0.32,3,1
56000,20000,14.61,0.36,4,1
56000,20000,17.39,0.36,3,1
62400,20000,11.12,0.32,2,1
62400,20000,11.48,0.32,2,1
63000,20000,12.42,0.32,3,1
58000,20000,10.25,0.34,2,1
65000,20000,10.65,0.31,3,1
20800,5000,16.29,0.24,3,0
65000,20000,10.37,0.31,2,1
65000,20000,11.49,0.31,3,1
20868,5375,13.49,0.26,2,0
59000,20000,12.29,0.34,4,1
21000,3500,17.27,0.17,2,1
65004,20000,11.99,0.31,2,1
59004,20000,14.84,0.34,2,1
59004,20000,10.83,0.34,2,1
65500,20000,13.22,0.31,2,1
66996,20000,12.18,0.3,2,0
67000,20000,11.11,0.3,2,0
67000,20000,13.48,0.3,2,0
68000,20000,10.75,0.29,4,0
68000,20000,12.53,0.29,4,0
62400,20000,14.84,0.32,4,1
69500,20000,17.74,0.29,2,0
70000,20000,9.99,0.29,2,0
70000,20000,6.91,0.29,4,0
71004,20000,14.09,0.28,2,0
21000,3000,11.49,0.14,3,0
71004,20000,14.09,0.28,3,0
55392,20000,15.2,0.31,4,1
72000,20000,11.83,0.28,2,0
21000,6000,12.21,0.29,2,0
66000,20000,14.11,0.3,3,1
66000,20000,14.42,0.3,2,1
72000,20000,14.74,0.28,3,0
74000,20000,12.69,0.27,3,0
21120,1625,16.89,0.08,3,1
21221,8500,9.63,0.4,4,0
75000,20000,8.88,0.27,3,0
75000,20000,6.91,0.27,4,0
75000,20000,10.38,0.27,3,0
69000,20000,10.99,0.29,4,1
21600,5200,12.42,0.24,3,0
69000,20000,14.82,0.29,4,1
75600,20000,16.32,0.26,3,0
59497,20000,16.0,0.29,3,1
76000,20000,10.37,0.26,3,0
70000,20000,13.16,0.29,3,1
70000,20000,14.88,0.29,4,1
77004,20000,13.98,0.26,4,0
71004,20000,13.36,0.28,2,1
21600,7125,6.99,0.33,3,0
21600,4025,5.42,0.19,4,0
21600,8000,5.42,0.37,2,0
78000,20000,13.85,0.26,4,0
21600,4000,12.99,0.19,2,0
21600,4200,9.99,0.19,3,0
61200,20000,11.14,0.28,2,1
21600,3800,5.99,0.18,2,0
78000,20000,11.58,0.26,3,0
78500,20000,13.85,0.25,4,0
79000,20000,16.89,0.25,4,0
80000,20000,7.9,0.25,4,0
21600,6000,12.68,0.28,4,0
62900,20000,14.91,0.27,4,1
80000,20000,13.06,0.25,4,0
80000,20000,8.88,0.25,4,0
21600,2000,6.17,0.09,4,0
80000,20000,13.98,0.25,4,0
21600,8500,6.54,0.39,4,0
62900,20000,13.85,0.27,3,1
21600,1000,10.36,0.05,3,0
74004,20000,15.95,0.27,4,1
80004,20000,14.26,0.25,4,0
80700,20000,11.71,0.25,2,0
81000,20000,13.49,0.25,4,0
21600,2000,14.84,0.09,2,1
76042,20000,15.05,0.26,4,1
76654,20000,13.79,0.26,4,1
83500,20000,13.48,0.24,3,0
21600,3000,6.76,0.14,2,0
84000,20000,11.11,0.24,4,0
84000,20000,13.92,0.24,2,0
21600,4400,12.53,0.2,2,0
78996,20000,14.11,0.25,2,1
85000,20000,7.49,0.24,2,0
85000,20000,10.25,0.24,3,0
73000,20000,12.53,0.27,2,1
21816,1500,11.86,0.07,3,0
21840,9000,7.88,0.41,3,0
87000,20000,13.85,0.23,4,0
21996,6000,13.23,0.27,4,0
78000,20000,18.25,0.26,2,1
90000,20000,6.54,0.22,3,0
90000,20000,11.49,0.22,4,0
90000,20000,11.49,0.22,3,0
22000,7000,11.71,0.32,2,0
90000,20000,13.57,0.22,4,0
91229,20000,14.35,0.22,3,0
22000,3825,10.65,0.17,4,0
92000,20000,15.65,0.22,2,0
22000,5875,6.62,0.27,2,1
92407,20000,9.25,0.22,2,0
22000,2400,11.71,0.11,3,0
22000,8000,5.42,0.36,4,0
93492,20000,9.45,0.21,4,0
22000,1550,7.49,0.07,2,1
95000,20000,10.99,0.21,2,0
22000,7350,7.66,0.33,2,0
96000,20000,13.04,0.21,3,0
22000,7200,7.14,0.33,2,0
85200,20000,15.65,0.23,4,1
98000,20000,11.83,0.2,4,0
22000,3000,16.0,0.14,2,0
99000,20000,15.28,0.2,4,0
22000,4000,15.05,0.18,4,0
22000,8500,15.05,0.39,4,0
99996,20000,14.22,0.2,3,0
87996,20000,16.35,0.23,3,1
22000,7500,10.96,0.34,2,0
100000,20000,13.06,0.2,2,0
100000,20000,13.06,0.2,2,0
74800,20000,14.96,0.23,4,1
74800,20000,17.04,0.23,2,1
100000,20000,12.21,0.2,3,0
22260,6400,7.88,0.29,4,0
22296,5400,5.42,0.24,3,0
104000,20000,10.74,0.19,2,0
93000,20000,13.22,0.22,3,1
95000,20000,14.59,0.21,2,1
110000,20000,12.42,0.18,3,0
110000,20000,14.17,0.18,3,0
110000,20000,13.72,0.18,3,0
110000,20000,10.38,0.18,4,0
22800,2000,7.51,0.09,3,0
22800,7125,11.71,0.31,3,1
22800,3000,8.9,0.13,2,1
85000,20000,17.39,0.2,2,1
22800,4800,5.79,0.21,2,0
22800,8300,12.61,0.36,2,1
120000,20000,10.37,0.17,4,0
22800,4750,11.36,0.21,3,0
121000,20000,8.9,0.17,3,0
125000,20000,11.11,0.16,4,0
22800,3000,8.94,0.13,2,0
130000,20000,15.27,0.15,2,0
130000,20000,13.11,0.15,4,0
22884,6000,16.0,0.26,2,0
133000,20000,12.36,0.15,2,0
23000,7000,8.9,0.3,3,0
140000,20000,6.54,0.14,4,0
138000,20000,15.99,0.14,3,1
23000,3600,17.27,0.16,3,1
148000,20000,17.99,0.14,3,1
160000,20000,7.49,0.13,4,0
23000,4800,10.0,0.21,4,0
160000,20000,9.99,0.13,3,0
168000,20000,11.36,0.12,4,0
172500,20000,11.83,0.12,2,0
23000,3000,13.35,0.13,3,0
175000,20000,14.72,0.11,2,0
23000,4400,6.76,0.19,2,0
58000,19900,11.83,0.34,4,1
116000,19800,11.48,0.17,4,0
19500,500,11.41,0.03,2,0
19000,700,12.29,0.04,2,0
23000,7000,14.96,0.3,3,0
19000,750,12.29,0.04,4,0
10000,1000,10.37,0.1,2,1
10000,1000,14.74,0.1,4,1
10140,1000,13.43,0.1,4,1
23000,2400,9.63,0.1,4,0
23000,2400,12.21,0.1,4,0
10500,1000,10.25,0.1,2,1
11220,1000,12.99,0.09,4,0
11760,1000,13.98,0.09,4,0
11820,1000,14.65,0.08,3,0
12000,1000,10.65,0.08,2,0
12000,1000,13.98,0.08,2,0
12000,1000,13.57,0.08,3,1
12240,1000,14.96,0.08,3,1
13728,1000,10.0,0.07,4,1
14400,1000,16.29,0.07,4,1
23040,2000,11.11,0.09,3,0
14400,1000,16.69,0.07,3,1
15000,1000,14.3,0.07,3,1
16000,1000,15.65,0.06,3,1
16800,1000,11.49,0.06,3,0
16800,1000,13.48,0.06,4,0
19200,1000,12.53,0.05,4,0
39600,19000,10.62,0.48,2,1
39900,19000,12.18,0.48,3,1
47000,19000,11.99,0.4,2,1
50000,19000,10.99,0.38,4,1
23500,7000,10.38,0.3,3,0
47500,19000,16.7,0.4,4,1
54586,19000,11.14,0.35,2,1
62004,19000,7.49,0.31,2,1
70000,19000,8.88,0.27,4,0
72000,19000,10.99,0.26,4,0
73000,19000,10.62,0.26,3,0
78000,19000,8.9,0.24,2,0
23920,6000,14.59,0.25,2,1
23964,2500,9.91,0.1,2,0
96000,19000,13.22,0.2,2,0
105000,19000,12.29,0.18,2,0
175000,19000,11.48,0.11,3,0
55000,18800,6.99,0.34,2,1
70000,18750,10.38,0.27,2,0
43000,18550,11.83,0.43,4,1
24000,7100,12.42,0.3,3,0
55784,18500,13.61,0.33,3,1
74196,18500,11.26,0.25,3,0
75000,18500,7.49,0.25,3,0
73000,18500,7.9,0.25,2,1
24000,8000,9.91,0.33,2,0
24000,3000,7.9,0.13,4,0
78000,18500,15.33,0.24,2,1
145000,18500,12.87,0.13,3,0
24000,5000,7.9,0.21,2,0
48888,18400,13.16,0.38,2,1
50000,18400,9.99,0.37,2,1
120000,18400,8.9,0.15,2,0
24000,5000,14.65,0.21,4,1
24000,6000,13.49,0.25,3,0
42504,18250,10.25,0.43,3,1
24000,1300,5.42,0.05,3,0
36996,18250,14.61,0.49,2,1
45600,18250,13.35,0.4,4,1
24000,5800,5.99,0.24,3,0
46000,18250,10.75,0.4,2,1
46000,18250,14.26,0.4,3,1
55044,18250,17.56,0.33,2,1
49200,18250,14.83,0.37,3,1
50000,18250,16.7,0.36,3,1
50000,18225,10.74,0.36,2,1
44000,18225,14.91,0.41,4,1
36400,18200,9.91,0.5,4,1
55000,18200,10.99,0.33,2,1
24000,8000,15.62,0.33,2,0
39996,18000,9.25,0.45,4,1
40000,18000,13.11,0.45,3,1
24000,5000,10.99,0.21,4,0
42000,18000,6.17,0.43,2,1
24000,8000,5.99,0.33,4,0
24000,2400,7.49,0.1,2,0
42765,18000,11.03,0.42,2,1
43000,18000,7.9,0.42,2,1
44000,18000,13.57,0.41,4,1
44000,18000,12.18,0.41,2,1
39000,18000,17.19,0.46,3,1
46800,18000,15.23,0.38,2,1
42000,18000,14.46,0.43,3,1
24000,4200,6.99,0.17,3,0
43400,18000,16.63,0.41,2,1
50000,18000,12.42,0.36,4,1
50000,18000,7.9,0.36,4,1
24000,5000,15.99,0.21,2,1
24000,4200,10.99,0.17,4,0
50000,18000,13.11,0.36,3,1
50000,18000,13.79,0.36,2,1
24000,2500,10.59,0.1,2,0
24000,6000,12.68,0.25,4,0
52000,18000,12.98,0.35,4,1
52000,18000,13.85,0.35,4,1
52526,18000,12.21,0.34,2,1
46610,18000,10.71,0.39,3,1
48000,18000,6.54,0.38,2,1
24000,8000,5.79,0.33,3,0
55000,18000,12.84,0.33,2,1
55344,18000,10.99,0.33,4,1
24000,1375,11.11,0.06,4,1
56000,18000,13.48,0.32,3,1
50000,18000,14.74,0.36,2,1
52240,18000,19.69,0.34,2,1
53000,18000,17.19,0.34,3,1
60000,18000,16.32,0.3,4,0
60000,18000,9.33,0.3,3,0
61500,18000,13.23,0.29,2,0
24000,5000,7.66,0.21,3,1
62000,18000,13.85,0.29,4,0
24000,5600,9.63,0.23,3,0
24000,10000,6.92,0.42,4,0
63000,18000,9.63,0.29,4,0
63000,18000,10.99,0.29,3,0
63000,18000,13.57,0.29,3,0
65000,18000,13.99,0.28,3,0
59000,18000,14.96,0.31,4,1
59000,18000,16.0,0.31,4,1
60000,18000,16.29,0.3,2,1
66000,18000,10.25,0.27,3,0
68000,18000,10.65,0.26,2,0
70000,18000,9.88,0.26,2,0
54400,18000,16.0,0.28,2,1
70200,18000,16.45,0.26,2,0
65000,18000,15.33,0.28,4,1
71820,18000,11.83,0.25,2,0
66000,18000,14.54,0.27,4,1
72000,18000,7.88,0.25,2,0
24000,3000,13.98,0.13,2,0
24000,1200,15.21,0.05,4,0
75000,18000,12.73,0.24,4,0
24000,3500,15.58,0.15,2,1
75576,18000,9.88,0.24,3,0
24000,7000,11.86,0.29,2,0
78000,18000,13.49,0.23,2,0
80000,18000,7.9,0.23,2,0
80000,18000,8.49,0.23,3,0
80000,18000,10.99,0.23,4,0
80171,18000,13.85,0.22,3,0
81000,18000,13.98,0.22,2,0
24000,2800,16.07,0.12,3,1
